lettre	fichier	iiif
CAC_ED_creteil-ad-2j187-21	2 Num i 03888 - 2 J 187 piece 21 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.c499dbiz/b9cf4881f1491c7d8737ab43f333b1c43ce3b7a4/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-21	2 Num i 03889 - 2 J 187 piece 21 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.c499dbiz/2e37dd1b5b5a9d4192e426033f77ccfd7b2594aa/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-21	2 Num i 03890 - 2 J 187 piece 21 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.c499dbiz/2de9fa5ccda71c786e64a9b8cc0be41193cb6a16/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-22	2 Num i 03891 - 2 J 187 piece 22 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.aaa5wx09/1f15cf4becacb671fcb6cb13e3d4495ce3ba8878/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-22	2 Num i 03893 - 2 J 187 piece 22 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.aaa5wx09/756651a66b7a6f530f9fc765e3e48df0fa1d2d4d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-22	2 Num i 03892 - 2 J 187 piece 22 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.aaa5wx09/8ea74170dcda1f94bcdefdd7376d48e79589f21c/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-22	2 Num i 03894 - 2 J 187 piece 22 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.aaa5wx09/4daf21f76dd3cbda981ea668c38607db1ef700bc/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-23	2 Num i 03895 - 2 J 187 piece 23 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bcf8940w/f175f3a8a9d012001319a6d8c68917a49b417f94/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-23	2 Num i 03896 - 2 J 187 piece 23 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.bcf8940w/959feb734ac4c7f894c1bbd0f87f562bc4f9f0a9/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-24	2 Num i 03897 - 2 J 187 piece 24.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.5bf7y54y/9570ec01cb10eb8dd2ae1f68223447e3c58acaca/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-26	2 Num i 03900 - 2 J 187 piece 26 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7bcca158/6329ff224764ddda535d503e09337fd920eec4b0/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-26	2 Num i 03901 - 2 J 187 piece 26 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.7bcca158/db8e9e3dd254326854098cf0aa38fe82ca9c24bd/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-27	2 Num i 03902 - 2 J 187 piece 27 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.24be437u/360698ebb75753903bb4b9645f37b419c970f9b0/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-27	2 Num i 03904 - 2 J 187 piece 27 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.24be437u/609cb36058289899f7ac21c6c57250d9fda03cff/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-27	2 Num i 03903 - 2 J 187 piece 27 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.24be437u/afd0104693c4b530d6984848b97dee33ad5da61d/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-27	2 Num i 03905 - 2 J 187 piece 27 page 4.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.24be437u/be1e5abde1060c83bed5df91bbc1bc77cdf8a439/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-28	2 Num i 03906 - 2 J 187 piece 28 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b7ac2bv0/02b2a8e5d0f1a7379b906026f456b95ce208ac7e/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-28	2 Num i 03908 - 2 J 187 piece 28 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b7ac2bv0/9ad796a8a2048be50f52a611dd352c1a27f824da/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-28	2 Num i 03907 - 2 J 187 piece 28 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b7ac2bv0/eae8224d878dda1a13516ef3f45d71ac97af71f4/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-29	2 Num i 03911 - 2 J 187 piece 29 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.97cauuv0/c4ceb195f5e3879eab984baeed99814c4240805a/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-29	2 Num i 03909 - 2 J 187 piece 29 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.97cauuv0/1077d6b46db722e530939c77b5fb0d0ecd02e627/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-29	2 Num i 03910 - 2 J 187 piece 29 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.97cauuv0/22724e177778f3bf382e3d81e35ebc109ed674a6/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-30	2 Num i 03914 - 2 J 187 piece 30 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b4683us1/53e1cb81bdf2d8d3f24e74c55e0b5d846b9948db/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-30	2 Num i 03913 - 2 J 187 piece 30 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b4683us1/fe588342a207053a5dcf3a84e115ecdf11b8c942/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-30	2 Num i 03912 - 2 J 187 piece 30 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.b4683us1/577c85a12d5df2a785de42b8968c927cf2bbc94c/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-31	2 Num i 03915 - 2 J 187 piece 31 page 1.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.5ff3pkkp/42f4f871e1999abb3a4708e899f3ed87850feddc/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-31	2 Num i 03916 - 2 J 187 piece 31 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.5ff3pkkp/aa0b9fe30d00669b4d1f174df0b9dfa3c970a1d5/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-32	2 Num i 03918 - 2 J 187 piece 32 page 2.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.cf4343hl/ba9974b3cfe854166c8e2a019453424899e19b56/full/full/0/default.jpg
CAC_ED_creteil-ad-2j187-32	2 Num i 03919 - 2 J 187 piece 32 page 3.jpg	https://api.nakala.fr/iiif/10.34847%2Fnkl.cf4343hl/73b02c61ca55a515ffd047c8f2bbccfadfe980bb/full/full/0/default.jpg
